block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_276688,11-52,0,R-LINE NORTH,110003,SE2014-hsep1406-Saturday-01_merged_980027,1983786-SE2014-hsep1406-Saturday-01_merged_990322
b_275053,30-52,1,30 Oaklawn,300015,SE2014-hsep1406-Saturday-01_merged_980027,1982754-SE2014-hsep1406-Saturday-01_merged_989844
b_276875,31-52,0,31 Providence,310001,SE2014-hsep1401-Weekday-02_merged_980032,1990513-SE2014-hsep1401-Weekday-02_merged_991180
a_276911,30-52,1,30 Oaklawn,300015,SE2014-hsep1401-Weekday-02_merged_980022,1990057-SE2014-hsep1401-Weekday-02_merged_983202
a_276880,19-52,1,19 Plainfield,190048,SE2014-hsep1401-Weekday-02_merged_980022,1989330-SE2014-hsep1401-Weekday-02_merged_982759
b_276872,31-52,0,31 Providence,310001,SE2014-hsep1401-Weekday-02_merged_980032,1990460-SE2014-hsep1401-Weekday-02_merged_985784
a_275143,21-52,1,21 RESERVOIR,210018,SE2014-hsep1407-Sunday-01_merged_980020,1984768-SE2014-hsep1407-Sunday-01_merged_981883
a_275143,21-52,1,21 RESERVOIR,210018,SE2014-hsep1407-Sunday-01_merged_980020,1984776-SE2014-hsep1407-Sunday-01_merged_981979
a_276877,17-52,0,17 Providence,170013,SE2014-hsep1401-Weekday-02_merged_980022,1990636-SE2014-hsep1401-Weekday-02_merged_981995
a_275708,66-52,0,66 Providence,660007,SE2014-hsep1406-Saturday-01_merged_980017,1986956-SE2014-hsep1406-Saturday-01_merged_980359
b_275480,67-52,1,67 BELLEVUE,670008,SE2014-hsem1406-Saturday-01_merged_980034,1986208-SE2014-hsem1406-Saturday-01_merged_986496
a_275078,57-52,1,57 SMITH ST,570009,SE2014-hsep1406-Saturday-01_merged_980017,1983496-SE2014-hsep1406-Saturday-01_merged_984888
b_276803,27-52,0,27 Providence,270010,SE2014-hsep1401-Weekday-02_merged_980032,1989303-SE2014-hsep1401-Weekday-02_merged_988420
b_276861,21-52,0,Inbound,210019,SE2014-hsep1401-Weekday-02_merged_980032,1990165-SE2014-hsep1401-Weekday-02_merged_990406
a_276943,35-52,1,RUMFORD,350002,SE2014-hsep1401-Weekday-02_merged_980022,1991416-SE2014-hsep1401-Weekday-02_merged_985133
a_275134,20-52,0,20 Providence,200006,SE2014-hsep1407-Sunday-01_merged_980020,1984622-SE2014-hsep1407-Sunday-01_merged_983092
a_276963,50-52,1,50 Douglas Av,500014,SE2014-hsep1401-Weekday-02_merged_980022,1991883-SE2014-hsep1401-Weekday-02_merged_982864
b_276876,19-52,0,19 Providence,190047,SE2014-hsep1401-Weekday-02_merged_980032,1990664-SE2014-hsep1401-Weekday-02_merged_988091
b_276876,19-52,1,19 Plainfield,190048,SE2014-hsep1401-Weekday-02_merged_980032,1989369-SE2014-hsep1401-Weekday-02_merged_985734
a_276824,20-52,0,20 Providence,200007,SE2014-hsep1401-Weekday-02_merged_980022,1989539-SE2014-hsep1401-Weekday-02_merged_983815
b_275050,55-52,1,55 FATIMA,550017,SE2014-hsep1406-Saturday-01_merged_980027,1982662-SE2014-hsep1406-Saturday-01_merged_989312
b_278776,63-52,0,63 GATEWAY,630024,SE2014-hsem1401-Weekday-01_merged_980029,1996118-SE2014-hsem1401-Weekday-01
b_276923,75-52,1,75 DEXTER ST,750006,SE2014-hsep1401-Weekday-02_merged_980032,1991223-SE2014-hsep1401-Weekday-02_merged_987652
b_277021,1-52,0,XXXXX,10008,SE2014-hsep1401-Weekday-02_merged_980032,1992511-SE2014-hsep1401-Weekday-02_merged_985817
a_274809,64-52,1,64 URI,640008,SE2014-hsem1401-Weekday-01_merged_980019,1978854-SE2014-hsem1401-Weekday-01_merged_980962
a_276852,55-52,1,55 FATIMA,550017,SE2014-hsep1401-Weekday-02_merged_980022,1989895-SE2014-hsep1401-Weekday-02_merged_984485
a_275126,30-52,0,30 Providence,300014,SE2014-hsep1407-Sunday-01_merged_980020,1984382-SE2014-hsep1407-Sunday-01_merged_981669
a_276828,54-52,1,54 Lincoln,540048,SE2014-hsep1401-Weekday-02_merged_980022,1990958-SE2014-hsep1401-Weekday-02_merged_981008
b_276954,11-52,0,R-LINE NORTH,110003,SE2014-hsep1401-Weekday-02_merged_980032,1991538-SE2014-hsep1401-Weekday-02_merged_986960
a_276716,1-52,1,1 Eddy St,10025,SE2014-hsep1407-Sunday-01_merged_980020,1988804-SE2014-hsep1407-Sunday-01_merged_984996
a_275139,51-52,1,51 CHARLES,510012,SE2014-hsep1407-Sunday-01_merged_980020,1984709-SE2014-hsep1407-Sunday-01_merged_982340
b_275476,67-52,1,67 BELLEVUE,670007,SE2014-hsem1401-Weekday-01_merged_980029,1986099-SE2014-hsem1401-Weekday-01_merged_989672
b_275051,33-52,1,33 Riverside,330004,SE2014-hsep1406-Saturday-01_merged_980027,1982693-SE2014-hsep1406-Saturday-01_merged_991034
b_275078,51-52,1,51 Charles,510011,SE2014-hsep1406-Saturday-01_merged_980027,1983483-SE2014-hsep1406-Saturday-01_merged_987076
b_275068,92-52,1,92 Federal Hil,920030,SE2014-hsep1406-Saturday-01_merged_980027,1983175-SE2014-hsep1406-Saturday-01_merged_986421
a_275057,71-52,1,71 BROAD ST.,710002,SE2014-hsep1406-Saturday-01_merged_980017,1982970-SE2014-hsep1406-Saturday-01_merged_981722
b_276877,19-52,0,19 Providence,190047,SE2014-hsep1401-Weekday-02_merged_980032,1990655-SE2014-hsep1401-Weekday-02_merged_990826
b_275309,28-52,0,28 Providence,280002,SE2014-hsep1406-Saturday-01_merged_980027,1985921-SE2014-hsep1406-Saturday-01_merged_990276
b_275146,57-52,0,57 Providence,570004,SE2014-hsep1407-Sunday-01_merged_980030,1984559-SE2014-hsep1407-Sunday-01_merged_987259
a_275025,6-52,0,6 Providence,60007,SE2014-hsep1406-Saturday-01_merged_980017,1982517-SE2014-hsep1406-Saturday-01_merged_983497
b_276874,31-52,0,31 Providence,310001,SE2014-hsep1401-Weekday-02_merged_980032,1990472-SE2014-hsep1401-Weekday-02_merged_987220
a_275174,60-52,1,60 Newport,600066,SE2014-hsep1407-Sunday-01_merged_980020,1984887-SE2014-hsep1407-Sunday-01_merged_982458
b_276716,1-52,0,XXXXX,10008,SE2014-hsep1407-Sunday-01_merged_980030,1988789-SE2014-hsep1407-Sunday-01_merged_990336
a_275107,75-52,1,75 DEXTER ST,750004,SE2014-hsep1407-Sunday-01_merged_980020,1984056-SE2014-hsep1407-Sunday-01_merged_983404
a_275141,72-52,0,72 Providence,720017,SE2014-hsep1407-Sunday-01_merged_980020,1984731-SE2014-hsep1407-Sunday-01_merged_983721
a_276860,13-52,1,13 ARCTIC,130006,SE2014-hsep1401-Weekday-02_merged_980022,1990097-SE2014-hsep1401-Weekday-02_merged_981743
b_276893,51-52,0,51 PROVIDENCE,510010,SE2014-hsep1401-Weekday-02_merged_980032,1990989-SE2014-hsep1401-Weekday-02_merged_989297
a_275154,78-52,0,78 Providence,780001,SE2014-hsep1407-Sunday-01_merged_980020,1984910-SE2014-hsep1407-Sunday-01_merged_982552
a_275174,60-52,0,60 Providence,600038,SE2014-hsep1407-Sunday-01_merged_980020,1985162-SE2014-hsep1407-Sunday-01_merged_983856
b_275142,21-52,0,21 Providence,210017,SE2014-hsep1407-Sunday-01_merged_980030,1984754-SE2014-hsep1407-Sunday-01_merged_988874
a_275483,67-52,1,67 BELLEVUE,670007,SE2014-hsem1407-Sunday-01_merged_980016,1986288-SE2014-hsem1407-Sunday-01_merged_981399
a_276895,54-52,0,54 Lincoln,540046,SE2014-hsep1401-Weekday-02_merged_980022,1990956-SE2014-hsep1401-Weekday-02_merged_985143
a_275074,20-52,1,20 Elmwood,200005,SE2014-hsep1406-Saturday-01_merged_980017,1983313-SE2014-hsep1406-Saturday-01_merged_981803
a_275121,3-52,1,3B WARWICK AV,30035,SE2014-hsep1407-Sunday-01_merged_980020,1984242-SE2014-hsep1407-Sunday-01_merged_983837
b_275066,92-52,1,92 Federal Hil,920030,SE2014-hsep1406-Saturday-01_merged_980027,1983170-SE2014-hsep1406-Saturday-01_merged_987798
a_275681,50-52,1,50 Douglas Av,500014,SE2014-hsep1406-Saturday-01_merged_980017,1986735-SE2014-hsep1406-Saturday-01_merged_980549
a_275707,66-52,1,66 CCRI / URI,660011,SE2014-hsep1406-Saturday-01_merged_980017,1986969-SE2014-hsep1406-Saturday-01_merged_983517
b_276817,10-52,0,10X PROVIDENCE,100010,SE2014-hsep1401-Weekday-02_merged_980032,1989407-SE2014-hsep1401-Weekday-02_merged_989293
b_276859,13-52,0,13 WARW. MALL,130005,SE2014-hsep1401-Weekday-02_merged_980032,1990119-SE2014-hsep1401-Weekday-02_merged_986933
b_275151,60-52,0,60 Providence,600038,SE2014-hsep1407-Sunday-01_merged_980030,1984857-SE2014-hsep1407-Sunday-01_merged_989077
a_276871,13-52,1,13 ARCTIC,130006,SE2014-hsep1401-Weekday-02_merged_980022,1990101-SE2014-hsep1401-Weekday-02_merged_980836
b_275481,67-52,1,67 BELLEVUE,670007,SE2014-hsem1407-Sunday-01_merged_980026,1986282-SE2014-hsem1407-Sunday-01_merged_985910
b_278775,63-52,0,63 GATEWAY,630024,SE2014-hsem1401-Weekday-01_merged_980029,1996099-SE2014-hsem1401-Weekday-01
b_275071,17-52,1,17 Dyer,170012,SE2014-hsep1406-Saturday-01_merged_980027,1983256-SE2014-hsep1406-Saturday-01_merged_989665
b_275158,11-52,1,R-LINE SOUTH,110004,SE2014-hsep1407-Sunday-01_merged_980030,1985036-SE2014-hsep1407-Sunday-01_merged_989661
b_275683,52-52,0,52 Providence,520023,SE2014-hsep1407-Sunday-01_merged_980030,1986795-SE2014-hsep1407-Sunday-01_merged_989708
b_276882,22-52,1,22 PONTIAC AV,220018,SE2014-hsep1401-Weekday-02_merged_980032,1990766-SE2014-hsep1401-Weekday-02_merged_990030
a_276882,20-52,0,20 Providence,200003,SE2014-hsep1401-Weekday-02_merged_980022,1990871-SE2014-hsep1401-Weekday-02_merged_984609
b_275120,73-52,0,73 Pawtucket,730006,SE2014-hsep1407-Sunday-01_merged_980030,1984079-SE2014-hsep1407-Sunday-01_merged_990723
b_276830,9-52,1,9 PASCOAG,90006,SE2014-hsep1401-Weekday-02_merged_980032,1989466-SE2014-hsep1401-Weekday-02_merged_987414
b_275478,67-52,0,67 GATEWAY,670011,SE2014-hsem1406-Saturday-01_merged_980034,1986250-SE2014-hsem1406-Saturday-01_merged_988092
b_275092,35-52,0,35 Providence,350001,SE2014-hsep1406-Saturday-01_merged_980027,1983722-SE2014-hsep1406-Saturday-01_merged_988538
b_276826,6-52,1,6 PRAIRIE,60004,SE2014-hsep1401-Weekday-02_merged_980032,1989583-SE2014-hsep1401-Weekday-02_merged_988424
a_274809,64-52,1,64 URI,640012,SE2014-hsem1401-Weekday-01_merged_980019,1978852-SE2014-hsem1401-Weekday-01_merged_984287
b_276877,17-52,1,17 Dyer,170012,SE2014-hsep1401-Weekday-02_merged_980032,1989321-SE2014-hsep1401-Weekday-02_merged_986375
a_276880,19-52,1,19 Plainfield,190048,SE2014-hsep1401-Weekday-02_merged_980022,1989360-SE2014-hsep1401-Weekday-02_merged_980548
b_275065,21-52,0,Inbound,210019,SE2014-hsep1406-Saturday-01_merged_980027,1983075-SE2014-hsep1406-Saturday-01_merged_986994
a_276872,31-52,0,31 Providence,310001,SE2014-hsep1401-Weekday-02_merged_980022,1990470-SE2014-hsep1401-Weekday-02_merged_981140
a_276801,28-52,0,28 Providence,280002,SE2014-hsep1401-Weekday-02_merged_980022,1991817-SE2014-hsep1401-Weekday-02_merged_981132
a_275068,92-52,1,XXXXX,920030,SE2014-hsep1406-Saturday-01_merged_980017,1983184-SE2014-hsep1406-Saturday-01_merged_982717
b_276802,27-52,1,Outbound,270016,SE2014-hsep1401-Weekday-02_merged_980032,1991755-SE2014-hsep1401-Weekday-02_merged_985723
b_275054,30-52,0,30 Providence,300014,SE2014-hsep1406-Saturday-01_merged_980027,1982772-SE2014-hsep1406-Saturday-01_merged_988271
a_275051,55-52,1,55 FATIMA,550017,SE2014-hsep1406-Saturday-01_merged_980017,1982639-SE2014-hsep1406-Saturday-01_merged_984064
a_276902,72-52,1,72 Pawtucket,720018,SE2014-hsep1401-Weekday-02_merged_980022,1991080-SE2014-hsep1401-Weekday-02_merged_981899
b_276712,1-52,1,1 Eddy St,10025,SE2014-hsep1406-Saturday-01_merged_980027,1988759-SE2014-hsep1406-Saturday-01_merged_989079
a_274789,14-52,1,14 West Bay,140035,SE2014-hsem1401-Weekday-01_merged_980019,1978712-SE2014-hsem1401-Weekday-01_merged_983140
b_275153,6-52,1,6 PRAIRIE,60009,SE2014-hsep1407-Sunday-01_merged_980030,1984157-SE2014-hsep1407-Sunday-01_merged_989953
a_276890,20-52,1,20 Elmwood,200005,SE2014-hsep1401-Weekday-02_merged_980022,1990703-SE2014-hsep1401-Weekday-02_merged_981490
b_276856,33-52,0,33 Providence,330003,SE2014-hsep1401-Weekday-02_merged_980032,1989963-SE2014-hsep1401-Weekday-02_merged_985965
a_276842,92-52,1,XXXXX,920030,SE2014-hsep1401-Weekday-02_merged_980022,1989726-SE2014-hsep1401-Weekday-02_merged_980293
a_276876,17-52,0,17 Providence,170013,SE2014-hsep1401-Weekday-02_merged_980022,1989387-SE2014-hsep1401-Weekday-02_merged_981774
