stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
41.887861,,-71.440832,23995,,,,RT 246 OPP TWIN RIVER ENTRANCE,0,
41.593612,,-71.498572,55345,,,,RT 2 FS STONY LANE,0,
41.87483,,-71.419317,22465,,,,POWER FS OAKDALE,0,
41.850635,,-71.479841,19710,,,,WOONASQUATUCKET AT 463 WOONASQUATUCKET,0,
41.605485,,-71.494735,55340,,,,RT 2 AT AIM HIGH ACADEMY,0,
41.847766,,-71.477863,19715,,,,WOONASQUATUCKET OPP COLUMBUS,0,
41.805672,,-71.436928,13290,,,,CRANSTON NS WADSWORTH,0,
41.789266,,-71.430208,11540,,,,RESERVOIR OPP ROGER WILLIAMS,0,
41.663764,,-71.45002,4025,,,,MAIN NS DIVISION,0,
41.664018,,-71.273609,4020,,,,HOPE FS BURTON,0,
41.653555,,-71.264463,3725,,,,FERRY RD NS AMBROSE,0,
41.876993,,-71.401574,22665,,,,WEEDEN NS STURMAN,0,
41.518855,,-71.306072,2155,,,,CODDINGTON NS SHERMAN,0,
41.885594,,-71.387106,23440,,,,BROAD NS CROSS,0,
41.876943,,-71.400483,22660,,,,WEEDEN NS LONSDALE,0,
41.885794,,-71.396107,23445,,,,DEXTER NS RICHARDSON,0,
41.728117,,-71.438114,55290,,,,POST OPP ALHAMBRA,0,
41.788113,,-71.463237,11385,,,,CRANSTON NS BATCHELLOR,0,
41.912542,,-71.402047,55295,,,,ANN & HOPE WAY NS MENDON,0,
41.735206,,-71.468006,7841,,,,EAST OPP BLAIS,0,
41.710077,,-71.398393,5980,,,,WARWICK OPP STOP & SHOP,0,
41.781004,,-71.393224,10890,,,,NARRAGANSETT BLVD FS GRAND,0,
41.81782,,-71.421282,14925,,,,WESTMINSTER AT PROVIDENCE SCHOOL DEPT,0,
41.710686,,-71.449525,5985,,,,POST FS CHAPMANS,0,
41.932459,,-71.426265,24710,,,,MENDON NS RYAN,0,
41.438867,,-71.498868,340,,,,MAIN OPP ROBINSON,0,
41.867401,,-71.390231,21635,,,,PAWTUCKET NS WALDO,0,
41.845319,,-71.486604,19155,,,,GEORGE WATERMAN OPP RICE,0,
41.845426,,-71.476965,19405,,,,WOONASQUATUCKET OPP EMANUEL,0,
41.845418,,-71.476814,19150,,,,WOONASQUATUCKET NS EMANUEL,0,
41.845026,,-71.397022,19400,,,,HOPE FS DANA,0,
41.825977,,-71.377837,16675,,,,MASSASOIT NS BIRCH,0,
41.845059,,-71.424973,19370,,,,ADMIRAL OPP 265 ADMIRAL,0,
41.846231,,-71.429762,56585,,,,ADMIRAL OPP VETO,0,
41.926677,,-71.417666,56235,,,,MENDON NS HUNT,0,
41.935815,,-71.44074,70470,,,,RT 116 NS PAULINE,0,
41.711288,,-71.497845,6150,,,,TOLLGATE OPP 1060 TOLLGATE,0,
41.800073,,-71.426702,12700,,,,ELMWOOD FS CARTER,0,
41.870453,,-71.417255,22000,,,,MINERAL SPRING NS POWER,0,
41.843407,,-71.397735,55900,,,,HOPE NS 616 HOPE,0,
41.870292,,-71.534791,22005,,,,PUTNAM PIKE OPP 458 PUTNAM PIKE,0,
41.690668,,-71.398289,4730,,,,OAKLAND BEACH NS HAZARD,0,
41.808174,,-71.359956,13600,,,,PAWTUCKET NS HILLSIDE,0,
41.718284,,-71.463652,6790,,,,GREENWICH AVE NS ROME,0,
41.690463,,-71.565979,4735,,,,MAIN OPP SOUTH MAIN,0,
41.524878,,-71.29768,2315,,,,W MAIN FS WOOLSEY,0,
41.809133,,-71.455093,13735,,,,POCASSET OPP DANIEL,0,
41.52402,,-71.298223,2310,,,,W MAIN OPP VALLEY,0,
41.908364,,-71.403002,56120,,,,MENDON FS LONSDALE SCHOOL ST,0,
41.917496,,-71.405973,56125,,,,MENDON NS FRANKLIN,0,
41.437274,,-71.454592,295,,,,BOSTON NECK - NORTH BEACH ENTRANCE,0,
41.43684,,-71.454786,290,,,,BOSTON NECK AT NARR TOWN BEACH NORTH LOT,0,
41.399781,,-71.479569,57290,,,,POINT JUDITH FS LINDSLEY,0,
41.832315,,-71.441486,17655,,,,CHALKSTONE NS BERLIN,0,
41.87263,,-71.554862,60135,,,,PUTNAM PIKE AT 590 PUTNAM PIKE,0,
41.404,,-71.479052,57295,,,,POINT JUDITH FS MANNING,0,
41.65591,,-71.455198,3775,,,,FIRST OPP CLIFF,0,
41.880909,,-71.400207,56050,,,,LONSDALE OPP PRICERITE,0,
41.688743,,-71.398102,4655,,,,OAKLAND BEACH AT 742 OAKLAND BEACH,0,
41.824089,,-71.432431,16250,,,,ATWELLS OPP KNIGHT,0,
41.689193,,-71.499494,4650,,,,COWESSETT CORNERS CHRISTMAS TREE SHOPS,0,
41.824735,,-71.354217,16255,,,,PAWTUCKET NS OFFICE PKWAY,0,
41.630229,,-71.246093,56830,,,,BOYDS LANE NS OLD BOYDS,0,
41.5178,,-71.297398,56835,,,,E MAIN AT 94 E MAIN,0,
41.831398,,-71.361503,17385,,,,N BROADWAY NS DUNBAR,0,
41.874683,,-71.562504,22485,,,,PUTNAM PIKE NS ARTHUR,0,
42.003986,,-71.511595,26155,,,,CLINTON AT 113 CLINTON,0,
41.874762,,-71.396122,22480,,,,MINERAL SPRING FS BAGLEY,0,
41.938764,,-71.430899,24815,,,,MENDON NS SCOTT,0,
41.794662,,-71.353405,12015,,,,TRIPPS LN OPP CITIZENS BANK,0,
41.816177,,-71.423574,14475,,,,CRANSTON MIDBLOCK ATHLETIC FIELD,0,
41.821078,,-71.480976,15495,,,,HARTFORD AT 985 HARTFORD,0,
41.905391,,-71.654335,51115,,,,PUTNAM PIKE OPP HIGHLAND LAKE,0,
41.846679,,-71.404623,19575,,,,ROCHAMBEAU FS N MAIN,0,
41.824554,,-71.409645,16385,,,,WEYBOSSET NS POST OFFICE CT,0,
41.906556,,-71.660513,51110,,,,PUTNAM PIKE AT DUNKIN DONUTS,0,
41.846532,,-71.431315,19570,,,,ADMIRAL OPP DANTE,0,
41.828413,,-71.363296,17250,,,,N BROADWAY NS MERRILL,0,
41.73552,,-71.435261,7880,,,,POST OPP BARDEN,0,
41.51492,,-71.461385,2260,,,,RT 1 AT 2299 TOWER HILL,0,
41.691727,,-71.279345,4780,,,,HOPE NS FALES,0,
41.736085,,-71.301674,7885,,,,COUNTY AT 132 COUNTY RD,0,
41.829991,,-71.387948,17255,,,,WAYLAND NS S ANGELL,0,
41.521684,,-71.283372,2265,,,,E MAIN NS AQUIDNECK,0,
41.857435,,-71.444422,20745,,,,DOUGLAS OPP 1159 DOUGLAS AVE,0,
41.532627,,-71.293429,2440,,,,W MAIN NS VANICEK,0,
41.857443,,-71.454393,20740,,,,SMITHFIELD NS SALEM,0,
41.827802,,-71.374717,17035,,,,MASSASOIT FS WOODWARD,0,
41.533073,,-71.29307,2445,,,,W MAIN AT CARDI'S FURNITURE,0,
41.758776,,-71.360118,9255,,,,BULLOCKS PT FS BEACON,0,
41.735412,,-71.285126,7865,,,,MAIN FS WATER,0,
41.890302,,-71.602171,60000,,,,PUTNAM PIKE AT 208 PUTNAM PIKE,0,
41.879105,,-71.575233,60005,,,,PUTNAME PIKE AT 120 PUTNAME PIKE,0,
41.735387,,-71.440718,7860,,,,JEFFERSON BLVD AT 443 JEFFERSON BLVD,0,
41.866935,,-71.440243,21615,,,,MINERAL SPRING NS WOODWARD,0,
41.885084,,-71.366903,57185,,,,G BENNET NS CENTRAL,0,
41.876297,,-71.379077,57180,,,,SUMMIT NS WALCOTT,0,
41.866923,,-71.439761,21610,,,,MINERAL SPRING AT 1388 MINERAL SPRING,0,
41.515906,,-71.309734,2045,,,,HILLSIDE NS MAPLE,0,
41.515737,,-71.313911,2040,,,,MAPLE NS GIRARD,0,
41.833235,,-71.469905,17875,,,,MANTON AT 989 MANTON,0,
41.826527,,-71.38987,16810,,,,PITMAN FS GANO,0,
41.82738,,-71.410156,16815,,,,CANAL NS STEEPLE,0,
41.76072,,-71.456737,9410,,,,MIDWAY FS CYPRESS DR,0,
41.862648,,-71.39916,21290,,,,MAIN NS BELMOUNT,0,
41.387825,,-71.485034,57050,,,,KNOWLESWAY FS COFFEY,0,
41.790429,,-71.456557,11615,,,,CRANSTON NS BYRON,0,
41.863029,,-71.453914,21295,,,,MINERAL SPRING AT 1704 MINERAL SPRING,0,
41.761545,,-71.389585,9415,,,,NARRAGANSETT PKWAY FS SPRING GARDEN,0,
41.790502,,-71.456549,11610,,,,CRANSTON NS DYER,0,
41.387328,,-71.4858,57055,,,,POINT JUDITH FS KNOWLESWAY,0,
41.71384,,-71.448069,6370,,,,JEFFERSON BLVD OPP ECHO,0,
41.795706,,-71.457319,12120,,,,DYER NS CHESTNUT HILL,0,
41.825844,,-71.411283,16635_merged_980008,,,,KENNEDY PLAZA STOP Q,0,
41.795912,,-71.457567,12125,,,,DYER OPP CHESTNUT HILL,0,
41.713615,,-71.508292,6375,,,,PROVIDENCE FS TANGLEWOOD,0,
41.777483,,-71.40078,10630,,,,WARWICK NS BARTLETT,0,
41.855317,,-71.447658,20520,,,,SMITHFIELD OPP SHAWS ENTRANCE,0,
41.774401,,-71.450366,10415,,,,RESERVOIR AT 1001 RESERVOIR,0,
41.772516,,-71.395991,10145,,,,BROAD NS ROSEWOOD,0,
41.855303,,-71.41138,20525,,,,SILVER SPRING OPP SWIFT,0,
41.770389,,-71.470381,10005,,,,OAKLAWN NS OAKLAWN MANOR DR,0,
41.812355,,-71.460281,14130,,,,PLAINFIELD NS DANIEL,0,
41.458251,,-71.435997,70245,,,,BOSTON NECK OPP OLD BOSTON NECK (NORTH),0,
41.79339,,-71.404099,11945,,,,EDDY NS JOHNSON,0,
41.433819,,-71.458382,70240,,,,NARRAGANSETT NS BOSTON NECK,0,
41.81252,,-71.34963,14135,,,,WATERMAN NS COMMERCIAL WAY,0,
41.377025,,-71.512646,58670,,,,GREAT ISLAND RD AT SALTY BRINE BEACH,0,
41.878511,,-71.416018,22875,,,,WEEDEN FS MABEL,0,
41.417035,,-71.479115,57305,,,,POINT JUDITH NS OLD POINT JUDITH,0,
41.878311,,-71.413411,22870,,,,WEEDEN AT 728 WEEDEN,0,
41.774304,,-71.43724,10380,,,,PONTIAC AT CITGO GAS,0,
41.763579,,-71.360859,9630,,,,BULLOCKS PT NS SHERMAN,0,
41.832642,,-71.451079,17725,,,,CHALKSTONE NS WINTHROP,0,
41.75971,,-71.348909,9320,,,,CRESCENT VIEW AT ALDEN,0,
41.847978,,-71.477916,19390,,,,WOONASQUATUCKET AT 405 WOONASQUATUCKET,0,
41.832744,,-71.446578,17720,,,,CHALKSTONE NS LAWN,0,
41.842002,,-71.392696,58070,,,,ELMGROVE OPP JEWISH CENTET,0,
41.896572,,-71.449792,24085,,,,RT 246 BETWEEN CHASE & BITTERSWEET,0,
41.759978,,-71.473771,9325,,,,OAKLAWN FS FERNBROOK,0,
41.827539,,-71.352674,16925,,,,PAWTUCKET AVE OPP BASEBALL FIELD,0,
41.8052,,-71.414734,58980,,,,PRAIRIE OPP SARATOGA,0,
41.86898,,-71.507404,70390,,,,ESMOND NS PUTNAM PIKE,0,
41.784114,,-71.418934,11080,,,,ELMWOOD NS CARLISLE,0,
41.789272,,-71.412814,58985,,,,HAWTHORNE FS TENNIS COURTS,0,
41.826873,,-71.639343,16920,,,,DANIELSON PIKE NS ST MARY,0,
41.873345,,-71.517828,70395,,,,SMITHFIELD CROSSINGS AT HALLMARK,0,
41.725802,,-71.436997,7265,,,,TF GREEN AIRPORT,0,
41.868187,,-71.424994,21720,,,,CHARLES NS MINERAL SPRING,0,
41.840617,,-71.440223,18855,,,,SMITH NS RIVER,0,
41.625436,,-71.242934,3510,,,,E MAIN FS SUNSET,0,
41.868819,,-71.42539,21725,,,,CHARLES NS MINERAL SPRING,0,
41.623391,,-71.256264,3515,,,,BRISTOL FERRY AT 309 BRISTOL FERRY,0,
41.840358,,-71.48448,18850,,,,GEORGE WATERMAN AT 33 GEORGE WATERMAN,0,
41.712329,,-71.448791,6205,,,,JEFFERSON BLVD NS GILLMORE,0,
41.65903,,-71.258745,3855,,,,METACOM NS GRISWOLD,0,
41.713415,,-71.52376,6200,,,,MAIN FS BRAYTON,0,
41.796186,,-71.363978,12230,,,,PAWTUCKET NS IVAN,0,
41.558869,,-71.287668,2685,,,,W MAIN NS UNION,0,
41.558566,,-71.443893,2680,,,,BOSTON NECK AT 429 BOSTON NECK,0,
41.731424,,-71.398145,7605,,,,WEST SHORE NS TWIN OAK,0,
41.816907,,-71.356389,14625,,,,PAWTUCKET FS WATERMAN,0,
41.796019,,-71.410806,59610,,,,PRAIRIE NS EARLY,0,
41.816824,,-71.356541,14620,,,,PAWTUCKET NS WATERMAN,0,
41.800354,,-71.412507,59615,,,,PRAIRIE FS GALLUP,0,
41.84847,,-71.354419,19870,,,,NEWPORT NS ELMWOOD,0,
41.82219,,-71.371682,15715,,,,WATERMAN AT 193 WATERMAN,0,
41.71855,,-71.268632,6805,,,,METACOM AT 622 METACOM,0,
41.718554,,-71.388532,6800,,,,CHURCH NS NEW BRITAIN,0,
41.821829,,-71.354756,15710,,,,TAUNTON AT ELMWOOD DODGE,0,
41.51835,,-71.313613,57870,,,,CODDINGTON OPP CCRI ENTRANCE,0,
41.493536,,-71.309679,1435,,,,BROADWAY FS AYRAULT,0,
41.425519,,-71.460099,90,,,,BOON NS CONGDON,0,
41.869415,,-71.534554,70800,,,,COMMERCE NS PUTNAM PIKE,0,
41.825578,,-71.422065,70801,,,,West Exchange Layover,0,
41.42625,,-71.467557,95,,,,S PIER OPP 172 S PIER,0,
41.503871,,-71.561119,50640,,,,RT 2 AT 2081 S COUNTY TRL,0,
41.755696,,-71.476041,9040,,,,OAKLAWN AT655 OAKLAWN,0,
41.795066,,-71.44325,70805,,,,GARFIELD AVE AT STOP & SHOP FRONT DOOR,0,
41.899562,,-71.453397,24155,,,,CCRI LINCOLN,0,
41.513881,,-71.301579,1990,,,,W MAIN FS BEACON,0,
41.699183,,-71.449838,5180,,,,WEST SHORE OPP VALLEY,0,
41.851082,,-71.421659,30415,,,,BRANCH FS HAWKINS,0,
41.899847,,-71.390647,24150,,,,BROAD NS MEETING,0,
41.501178,,-71.305113,1625,,,,BROADWAY NS BROOKS,0,
41.699374,,-71.449497,5185,,,,WEST SHORE NS VALLEY,0,
41.759719,,-71.404782,58180,,,,WARWICK OPP HARDING,0,
41.713487,,-71.399323,58185,,,,WARWICK AT 2323 WARWICK AVE,0,
41.877571,,-71.570921,22810,,,,PUTNAM PIKE NS W GREENVILLE,0,
41.744247,,-71.314358,51060,,,,COUNTY AT 361 COUNTY RD,0,
41.865872,,-71.456922,21540,,,,DOUGLAS OPP 1510 DOUGLAS,0,
41.453452,,-71.442568,70230,,,,BOSTON NECK NS MIDDLEBRIDGE,0,
41.752442,,-71.324051,8835,,,,COUNTY FS MANNING,0,
41.804305,,-71.458218,13180,,,,DYER OPP MICA,0,
41.803575,,-71.425615,13050,,,,ELMWOOD AT MAWNEY,0,
41.906553,,-71.403679,70485,,,,LONSDALE FS FRONT,0,
41.75282,,-71.477299,8830,,,,OAKLAWN AT 741 OAKLAWN,0,
41.92135,,-71.409838,70480,,,,MENDON FS 500 MENDON,0,
41.839814,,-71.475295,18705,,,,WOONASQUATUCKET AT 184 WOONASQUATUCKET,0,
41.561053,,-71.489529,30320,,,,RT 4 FS OAK HILL,0,
41.789003,,-71.500793,59920,,,,WALMART SVC RD FS CITIZENS BANK,0,
41.452806,,-71.501864,550,,,,KINGSTOWN NS KERSEY RD,0,
41.503928,,-71.560814,30325,,,,RT 2 NS PLEASANT VIEW,0,
41.906576,,-71.660221,58325,,,,PUTNAM PIKE OPP DUNKIN DONUTS,0,
41.87664,,-71.568604,58320,,,,PUTNAM PIKE AT 711 PUTNAM PIKE,0,
41.797295,,-71.405053,12370,,,,EDDY NS PAVILION,0,
41.901297,,-71.450957,24230,,,,RT 246 NS BREAK NECK HILL,0,
41.832855,,-71.419433,17825,,,,SMITH FS COMMON,0,
41.820688,,-71.368155,15660,,,,N BROADWAY AT 318 N BROADWAY,0,
41.732495,,-71.400523,7670,,,,WEST SHORE OPP DELWOOD,0,
41.70226,,-71.430931,5450,,,,WEST SHORE FS CITY PARK,0,
41.721933,,-71.474838,7075,,,,WARWICK MALL AT THEATRES,0,
41.614854,,-71.245837,3340,,,,E MAIN OPP SPRAGUE,0,
41.721011,,-71.465792,7070,,,,GREENWICH AT 555 GREENWICH,0,
41.613898,,-71.246113,3345,,,,E MAIN AT 3124 E MAIN,0,
41.813942,,-71.348969,14395,,,,COMMERCIAL WAY OPP POLE 4,0,
41.838843,,-71.409442,18635,,,,N MAIN AT 670 CHARLESGATE,0,
41.536076,,-71.26772,59585,,,,E MAIN AT SLATE HILL FARM,0,
41.506695,,-71.319325,1755,,,,ADM KALBFUS AT AT ADMIRAL'S GATE,0,
41.863789,,-71.354388,30250,,,,NEWPORT AT 191 NEWPORT AVE,0,
41.482871,,-71.540778,1175,,,,KINGSTOWN FS W INDEPENDENCE,0,
41.741874,,-71.310257,8160,,,,COUNTY AT 308 COUNTY RD,0,
41.799083,,-71.405528,12495,,,,EDDY OPP APPLEGATE,0,
41.720395,,-71.268981,6970,,,,METACOM AT 598 METACOM,0,
41.820638,,-71.479681,15440,,,,HARTFORD AT 956 HARTFORD AVE,0,
41.879729,,-71.360328,23055,,,,ARMISTICE FS ROSEMONT,0,
41.677305,,-71.278791,4250,,,,HOPE NS WASHINGTON,0,
41.886306,,-71.361456,23505,,,,CENTRAL NS HARDING,0,
41.676839,,-71.448416,4255,,,,POST FS NEPTUNE,0,
41.810247,,-71.462464,13945,,,,PLAINFIELD OPP 752 PLAINFIELD,0,
41.702867,,-71.427365,5530,,,,WEST SHORE FS MODENA,0,
41.914092,,-71.398204,24520,,,,BROAD FS CUMBERLAND,0,
41.750778,,-71.404095,8680,,,,WARWICK OPP URBAN,0,
41.835545,,-71.478231,18140,,,,GREENVILLE OPP 150 GREENVILLE,0,
42.006388,,-71.507343,50095,,,,CLINTON AT STRIPMALL,0,
41.833889,,-71.561031,18145,,,,HARTFORD AT 2525 HARTFORD,0,
42.005575,,-71.509648,50090,,,,CLINTON FS VETS PKWAY,0,
41.607913,,-71.450657,58520,,,,NEWCOMB AT ESSEX VILLAGE ENTRANCE,0,
41.831125,,-71.606525,17595,,,,DANIELSON PIKE S BETSY,0,
41.570773,,-71.461408,58525,,,,POST OPP 130 POST,0,
41.813054,,-71.415261,14405,,,,PRAIRIE FS PROVIDENCE,0,
41.81762,,-71.415516,59030,,,,E FRANKLIN NS BROAD,0,
41.843134,,-71.402499,19170,,,,CAMP NS ABBOTT,0,
