stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,direction_id,route_id,route_url,serviceid
5655,"""MAIN NS WASHINGTON""",41.704546,-71.524196,2395169,07:14:00,07:14:00,1,0,12,http://www.ripta.com/12,Weekday
57740,"""MAIN FS WASHINGTON""",41.703443,-71.524081,2395169,07:14:00,07:14:00,2,0,12,http://www.ripta.com/12,Weekday
5255,"""MAIN AT 1387 MAIN""",41.70002,-71.522642,2395169,07:15:00,07:15:00,3,0,12,http://www.ripta.com/12,Weekday
5110,"""MAIN AT 1425 MAIN""",41.698841,-71.522307,2395169,07:15:00,07:15:00,4,0,12,http://www.ripta.com/12,Weekday
5045,"""MAIN AT 1445 MAIN""",41.697854,-71.522202,2395169,07:16:00,07:16:00,5,0,12,http://www.ripta.com/12,Weekday
5085,"""RT 117 PARK & RIDE""",41.697456,-71.473905,2395169,07:25:00,07:25:00,6,0,12,http://www.ripta.com/12,Weekday
16720,"""KENNEDY PLAZA (STOP X)""",41.825999,-71.412244,2395169,07:52:00,07:52:00,7,0,12,http://www.ripta.com/12,Weekday
16035,"""SABIN MIDBLOCK RI CONVENTION CTR""",41.823682,-71.416802,2395169,07:53:00,07:53:00,8,0,12,http://www.ripta.com/12,Weekday
15575,"""EMPIRE OPP WESTMINSTER""",41.821,-71.415397,2395169,07:54:00,07:54:00,9,0,12,http://www.ripta.com/12,Weekday
15880,"""WEYBOSSET OPP EDDY""",41.822625,-71.41138,2395169,07:56:00,07:56:00,10,0,12,http://www.ripta.com/12,Weekday
16385,"""WEYBOSSET NS POST OFFICE CT""",41.824554,-71.409645,2395169,07:58:00,07:58:00,11,0,12,http://www.ripta.com/12,Weekday
16720,"""KENNEDY PLAZA (STOP X)""",41.825999,-71.412244,2395170,17:05:00,17:05:00,1,1,12,http://www.ripta.com/12,Weekday
16035,"""SABIN MIDBLOCK RI CONVENTION CTR""",41.823682,-71.416802,2395170,17:06:00,17:06:00,2,1,12,http://www.ripta.com/12,Weekday
15575,"""EMPIRE OPP WESTMINSTER""",41.821,-71.415397,2395170,17:07:00,17:07:00,3,1,12,http://www.ripta.com/12,Weekday
15880,"""WEYBOSSET OPP EDDY""",41.822625,-71.41138,2395170,17:09:00,17:09:00,4,1,12,http://www.ripta.com/12,Weekday
16385,"""WEYBOSSET NS POST OFFICE CT""",41.824554,-71.409645,2395170,17:11:00,17:11:00,5,1,12,http://www.ripta.com/12,Weekday
16745,"""EXCHANGE NS MEMORIAL""",41.826684,-71.411773,2395170,17:11:00,17:11:00,6,1,12,http://www.ripta.com/12,Weekday
51165,"""MEMORIAL FS EXCHANGE ST""",41.826819,-71.412824,2395170,17:12:00,17:12:00,7,1,12,http://www.ripta.com/12,Weekday
5085,"""RT 117 PARK & RIDE""",41.697456,-71.473905,2395170,17:34:00,17:34:00,8,1,12,http://www.ripta.com/12,Weekday
5250,"""TOLLGATE NS EMILY""",41.699988,-71.467062,2395170,17:37:00,17:37:00,9,1,12,http://www.ripta.com/12,Weekday
5325,"""TOLLGATE AT 215 TOLLGATE RD""",41.701102,-71.47049,2395170,17:37:00,17:37:00,10,1,12,http://www.ripta.com/12,Weekday
5610,"""TOLLGATE AT 330 TOLLGATE""",41.70312,-71.475256,2395170,17:38:00,17:38:00,11,1,12,http://www.ripta.com/12,Weekday
5740,"""TOLLGATE AT 470 TOLLGATE""",41.704925,-71.478663,2395170,17:39:00,17:39:00,12,1,12,http://www.ripta.com/12,Weekday
5810,"""TOLLGATE OPP HILARY""",41.706483,-71.48185,2395170,17:40:00,17:40:00,13,1,12,http://www.ripta.com/12,Weekday
5820,"""TOLLGATE NS COMMONWEALTH""",41.707184,-71.483268,2395170,17:40:00,17:40:00,14,1,12,http://www.ripta.com/12,Weekday
